win;winner;loser;diff_h;diff_w;diff_r;diff_byear
1;Francis Ngannou;Jairzinho Rozenstruik;-2.0;-8;-5;1.5304900169065758
1;Calvin Kattar;Jeremy Stephens;-2.0;0;-1;-1.8371356016892886
1;Greg Hardy;Yorgan De Castro;-5.0;-15;-6;-1.607151413102254
1;Anthony Pettis;Donald Cerrone;3.0;15;1;-3.8330698097839107
1;Aleksei Oleinik;Fabricio Werdum;2.0;-9;-3;0.1095162802795403
1;Carla Esparza;Michelle Waterson;2.0;0;-1;-1.7577362984866218
1;Vicente Luque;Niko Price;1.0;0;1;-2.1602086285139324
1;Bryce Mitchell;Charles Rosa;-1.0;0;-1;-8.112418461706948
1;Ryan Spann;Sam Alvey;-3.0;-20;-4;-5.3005879655297505
1;Charles Oliveira;Kevin Lee;-1.0;15;3;2.8830160783588985
1;Gilbert Burns;Demian Maia;3.0;0;1;-8.701068468209478
1;Renato Moicano;Damir Hadzovic;-2.0;0;-2;-2.7844514261073123
1;Nikita Krylov;Johnny Walker;3.0;0;5;0.06297186116073568
1;Francisco Trinaldo;John Makdessi;-1.0;-15;-2;6.691444725079912
1;Brandon Moreno;Jussier Formiga;-2.0;0;-3;-8.649048235076696
1;Amanda Ribas;Randa Markos;1.0;-10;-3;-8.043970786532235
1;Elizeu Zaleski dos Santos;Aleksei Kunchenko;-3.0;0;-3;-2.6092253776600476
1;Rani Yahya;Enrique Barzola;1.0;10;3;4.62432493480359
1;Maryna Moroz;Mayra Bueno Silva;-1.0;10;-1;-0.04654441911880463
1;David Dvorak;Bruno Silva;-1.0;0;-3;-2.223180489674668
1;Bea Malecki;Veronica Macedo;-5.0;-10;-10;4.186259813685428
1;Gilbert Burns;Tyron Woodley;-1.0;0;3;-4.284824465937015
1;Augusto Sakai;Blagoy Ivanov;-4.0;-15;-4;-4.580518422691774
1;Billy Quarantillo;Spike Carlyle;-2.0;0;1;4.408030281251497
1;Roosevelt Roberts;Brok Weaver;-2.0;0;0;-2.1875876985838176
1;Mackenzie Dern;Hannah Cifers;-3.0;0;-1;-0.7419727988938856
1;Katlyn Chookagian;Antonina Shevchenko;-1.0;0;-1;-4.104122603475773
1;Daniel Rodriguez;Gabe Green;-3.0;0;-1;6.335516814171407
1;Jamahal Hill;Klidson Abreu;-4.0;0;-5;1.601675599088277
1;Brandon Royval;Tim Elliott;-2.0;0;-2;-5.645564248410302
1;Casey Kenney;Louis Smolka;2.0;0;0;0.3230730268246439
1;Chris Gutierrez;Vince Morales;-2.0;0;3;-0.4408030281251497
1;Alistair Overeem;Walt Harris;1.0;-15;-3;3.06371794082014
1;Claudia Gadelha;Angela Hill;-1.0;0;1;-3.901517484958623
1;Dan Ige;Edson Barboza;4.0;0;4;-5.538785875137751
1;Krzysztof Jotko;Eryk Anders;0.0;0;-2;-2.32995886294722
1;Song Yadong;Marlon Vera;0.0;0;3;-4.999418194761015
1;Cynthia Calvillo;Jessica Eye;2.0;0;2;-0.9610053594529662
1;Marvin Vettori;Karl Roberson;1.0;-20;0;-2.9624153815615655
1;Miguel Baeza;Matt Brown;-2.0;0;1;-11.616939430652238
1;Kevin Holland;Anthony Hernandez;-3.0;0;-6;0.9500537314250121
1;Giga Chikadze;Irwin Rivera;-6.0;-10;-7;0.4736579122090118
1;Charles Rosa;Kevin Aguilar;-2.0;10;4;2.039740720206438
1;Andre Fili;Charles Jourdain;-2.0;0;-5;5.423793780844234
1;Nate Landwehr;Darren Elkins;1.0;0;-1;-4.057578184356968
1;Cortney Casey;Mara Romero Borella;-1.0;0;2;-0.9199367543481386
1;Rodrigo Nascimento;Don'Tale Mayes;4.0;14;1;-0.8624407072013799
1;Jordan Espinosa;Mark De La Rosa;0.0;10;-4;4.810502611278808
1;Mariya Agapova;Hannah Cifers;-5.0;-10;-6;-4.780385634201934
1;Merab Dvalishvili;Gustavo Lopez;-1.0;0;-1;-1.5387037379275412
1;Julia Avila;Gina Mazany;-1.0;-10;0;0.27379070069885075
1;Tyson Nam;Zarrukh Adashev;-2.0;0;-3;8.813322655496005
1;Christian Aguilera;Anthony Ivy;5.0;15;2;-1.8371356016892886
1;Amanda Nunes;Felicia Spencer;-2.0;10;-1;2.4997090973805074
1;Cody Garbrandt;Raphael Assuncao;-3.0;10;1;-8.966645447887363
1;Aljamain Sterling;Cory Sandhagen;4.0;0;-1;2.7214795649465766
1;Neil Magny;Anthony Rocco Martin;-3.0;0;-7;2.357337933017105
1;Sean O'Malley;Eddie Wineland;-4.0;0;-3;-10.327385230360651
1;Alex Caceres;Chase Hooper;3.0;0;1;11.230894542666858
1;Ian Heinisch;Gerald Meerschaert;2.0;0;5;-0.6324565186143453
1;Cody Stamann;Brian Kelleher;0.0;0;2;-3.225254454232462
1;Maki Pitolo;Charles Byrd;0.0;0;-2;-7.121296125177109
1;Alex Perez;Jussier Formiga;-1.0;0;2;-6.93511844870189
1;Devin Clark;Alonzo Menifield;0.0;0;1;-2.4832816553385766
1;Herbert Burns;Evan Dunham;1.0;10;-3;-6.124697974633292
1;Curtis Blaydes;Alexander Volkov;3.0;-15;0;-2.319007234919266
1;Josh Emmett;Shane Burgos;5.0;0;5;6.039822857416648
