event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC Fight Night: Edwards vs. Muhammad;Eryk Anders;"6' 0""";205 lbs.;"74""";Dec 30, 1990;Darren Stewart;"6' 1""";185 lbs.;"75""";Apr 21, 1987
UFC Fight Night: Edwards vs. Muhammad;Angela Hill;"5' 7""";115 lbs.;"69""";Oct 20, 1987;Ashley Yoder;"5' 3""";115 lbs.;"64""";Jan 12, 1985
UFC Fight Night: Edwards vs. Muhammad;Charles Jourdain;"5' 8""";135 lbs.;"71""";Jul 02, 1988;Marcelo Rojo;"5' 9""";145 lbs.;"69""";Nov 27, 1995
UFC Fight Night: Edwards vs. Muhammad;Rani Yahya;"5' 7""";135 lbs.;"70""";Dec 10, 1987;Ray Rodriguez;"5' 6""";135 lbs.;"67""";Sep 12, 1984
UFC Fight Night: Edwards vs. Muhammad;Nasrat Haqparast;"5' 7""";155 lbs.;"70""";Aug 05, 1994;Rafa Garcia;"5' 10""";155 lbs.;"72""";Aug 22, 1995
UFC Fight Night: Edwards vs. Muhammad;JJ Aldrich;"5' 7""";125 lbs.;"67""";May 05, 1987;Cortney Casey;"5' 5""";125 lbs.;"67""";Sep 29, 1992
UFC 254: Khabib vs. Gaethje;Khabib Nurmagomedov;"5' 11""";155 lbs.;"70""";Nov 14, 1988;Justin Gaethje;"5' 10""";155 lbs.;"70""";Sep 20, 1988
UFC 254: Khabib vs. Gaethje;Robert Whittaker;"5' 11""";185 lbs.;"77""";Mar 16, 1984;Jared Cannonier;"6' 0""";185 lbs.;"73""";Dec 20, 1990
UFC Fight Night: Edwards vs. Muhammad;Jinh Yu Frey;"5' 5""";115 lbs.;"67""";Jun 10, 1995;Gloria de Paula;"5' 3""";115 lbs.;"65""";May 20, 1985
UFC Fight Night: Edwards vs. Muhammad;Matthew Semelsberger;"5' 10""";170 lbs.;"70""";Nov 07, 1986;Jason Witt;"6' 1""";170 lbs.;"75""";Nov 23, 1992
UFC 254: Khabib vs. Gaethje;Alexander Volkov;"6' 5""";250 lbs.;"77""";Jun 10, 1983;Walt Harris;"6' 7""";250 lbs.;"80""";Oct 24, 1988
UFC 254: Khabib vs. Gaethje;Phil Hawes;"5' 9""";185 lbs.;"73""";Aug 26, 1995;Jacob Malkoun;"6' 0""";185 lbs.;"77""";Jan 08, 1989
UFC 254: Khabib vs. Gaethje;Lauren Murphy;"5' 4""";125 lbs.;"65""";Oct 24, 1991;Liliya Shakirova;"5' 5""";125 lbs.;"67""";Jul 27, 1983
UFC 254: Khabib vs. Gaethje;Magomed Ankalaev;"6' 1""";205 lbs.;"75""";Dec 14, 1993;Ion Cutelaba;"6' 3""";205 lbs.;"75""";Jun 02, 1992
UFC 254: Khabib vs. Gaethje;Magomed Ankalaev;"6' 1""";205 lbs.;"75""";Dec 14, 1993;Ion Cutelaba;"6' 3""";205 lbs.;"75""";Jun 02, 1992
UFC 254: Khabib vs. Gaethje;Tai Tuivasa;"6' 11""";265 lbs.;"84""";Feb 18, 1988;Stefan Struve;"6' 2""";264 lbs.;"75""";Mar 16, 1993
UFC 254: Khabib vs. Gaethje;Casey Kenney;"5' 6""";135 lbs.;"69""";May 08, 1993;Nathaniel Wood;"5' 7""";135 lbs.;"68""";Mar 20, 1991
UFC 254: Khabib vs. Gaethje;Shavkat Rakhmonov;"5' 11""";170 lbs.;"76""";Feb 21, 1988;Alex Oliveira;"6' 1""";170 lbs.;"77""";Oct 23, 1994
UFC 254: Khabib vs. Gaethje;Da-Un Jung;"6' 2""";185 lbs.;"75""";May 06, 1986;Sam Alvey;"6' 4""";205 lbs.;"78""";Dec 07, 1993
UFC 254: Khabib vs. Gaethje;Miranda Maverick;"5' 4""";125 lbs.;"62""";Mar 22, 1995;Liana Jojua;"5' 3""";125 lbs.;"65""";Jul 01, 1997
UFC 254: Khabib vs. Gaethje;Joel Alvarez;"6' 3""";155 lbs.;"74""";Jul 18, 1984;Alexander Yakovlev;"6' 3""";155 lbs.;"77""";Mar 02, 1993
UFC Fight Night: Brunson vs. Holland;Derek Brunson;"6' 3""";185 lbs.;"81""";Nov 05, 1992;Kevin Holland;"6' 1""";185 lbs.;"77""";Jan 04, 1984
UFC Fight Night: Brunson vs. Holland;Max Griffin;"6' 0""";170 lbs.;"71""";Mar 10, 1990;Song Kenan;"5' 11""";170 lbs.;"76""";Nov 29, 1985
UFC Fight Night: Brunson vs. Holland;Montserrat Conejo;"5' 3""";115 lbs.;"63""";Jun 25, 1995;Cheyanne Vlismas;"5' 0""";115 lbs.;"61""";Feb 03, 1993
UFC Fight Night: Brunson vs. Holland;Adrian Yanez;"5' 5""";135 lbs.;"67""";Jun 27, 1989;Gustavo Lopez;"5' 7""";135 lbs.;"70""";Nov 29, 1993
UFC Fight Night: Brunson vs. Holland;Tai Tuivasa;"6' 2""";241 lbs.;"75""";Jan 03, 1989;Harry Hunsucker;"6' 2""";264 lbs.;"75""";Mar 16, 1993
UFC Fight Night: Brunson vs. Holland;Macy Chiasson;"5' 6""";135 lbs.;"68""";Jun 20, 1977;Marion Reneau;"5' 11""";145 lbs.;"72""";Jul 27, 1991
UFC Fight Night: Brunson vs. Holland;Grant Dawson;"6' 0""";155 lbs.;"75""";Feb 05, 1980;Leonardo Santos;"5' 10""";155 lbs.;"72""";Feb 20, 1994
UFC Fight Night: Brunson vs. Holland;Trevin Giles;"6' 2""";185 lbs.;"76""";Jul 15, 1988;Roman Dolidze;"6' 0""";185 lbs.;"74""";Aug 06, 1992
UFC Fight Night: Brunson vs. Holland;Montel Jackson;"5' 7""";135 lbs.;"70""";May 29, 1991;Jesse Strader;"5' 10""";135 lbs.;"75""";Apr 24, 1992
UFC Fight Night: Brunson vs. Holland;Bruno Silva;"5' 5""";135 lbs.;"67""";Apr 30, 1996;JP Buys;"5' 4""";125 lbs.;"65""";Mar 16, 1990
UFC Fight Night: Whittaker vs. Gastelum;Robert Whittaker;"5' 9""";185 lbs.;"71""";Oct 24, 1991;Kelvin Gastelum;"6' 0""";185 lbs.;"73""";Dec 20, 1990
UFC Fight Night: Whittaker vs. Gastelum;Andrei Arlovski;"6' 4""";250 lbs.;"78""";Nov 16, 1989;Chase Sherman;"6' 3""";240 lbs.;"77""";Feb 04, 1979
UFC Fight Night: Whittaker vs. Gastelum;Jacob Malkoun;"5' 10""";185 lbs.;"73""";Aug 11, 1985;Abdul Razak Alhassan;"5' 9""";185 lbs.;"73""";Aug 26, 1995
UFC Fight Night: Whittaker vs. Gastelum;Tracy Cortez;"5' 5""";125 lbs.;"64""";Apr 13, 1988;Justine Kish;"5' 5""";125 lbs.;"65""";Dec 10, 1993
UFC Fight Night: Whittaker vs. Gastelum;Luis Pena;"5' 9""";155 lbs.;"72""";Feb 27, 1990;Alexander Munoz;"6' 3""";155 lbs.;"75""";Jul 05, 1993
UFC Fight Night: Whittaker vs. Gastelum;Alexandr Romanov;"6' 3""";255 lbs.;"80""";Oct 09, 1980;Juan Espino;"6' 2""";262 lbs.;"75""";Dec 11, 1990
UFC Fight Night: Whittaker vs. Gastelum;Jessica Penne;"5' 2""";115 lbs.;"61""";Sep 06, 1993;Loopy Godinez;"5' 5""";115 lbs.;"67""";Jan 30, 1983
UFC Fight Night: Whittaker vs. Gastelum;Gerald Meerschaert;"6' 0""";170 lbs.;"75""";Apr 26, 1986;Bartosz Fabinski;"6' 1""";185 lbs.;"77""";Dec 18, 1987
UFC Fight Night: Whittaker vs. Gastelum;Austin Hubbard;"5' 10""";155 lbs.;"73""";Jun 09, 1994;Dakota Bush;"5' 10""";155 lbs.;"71""";Dec 22, 1991
UFC 260: Miocic vs. Ngannou;Francis Ngannou;"6' 4""";240 lbs.;"80""";Aug 19, 1982;Stipe Miocic;"6' 4""";250 lbs.;"83""";Sep 05, 1986
UFC 260: Miocic vs. Ngannou;Vicente Luque;"5' 9""";170 lbs.;"74""";Apr 07, 1982;Tyron Woodley;"5' 11""";170 lbs.;"75""";Nov 27, 1991
UFC Fight Night: Whittaker vs. Gastelum;Tony Gravely;"5' 8""";135 lbs.;"69""";May 16, 1986;Anthony Birchak;"5' 5""";135 lbs.;"69""";Sep 28, 1991
UFC 260: Miocic vs. Ngannou;Sean O'Malley;"5' 7""";145 lbs.;"70""";Jul 31, 1991;Thomas Almeida;"5' 11""";135 lbs.;"72""";Oct 24, 1994
UFC 260: Miocic vs. Ngannou;Miranda Maverick;"5' 5""";125 lbs.;"63""";May 17, 1995;Gillian Robertson;"5' 3""";125 lbs.;"65""";Jul 01, 1997
UFC 260: Miocic vs. Ngannou;Jamie Mullarkey;"5' 11""";155 lbs.;"74""";Oct 15, 1986;Khama Worthy;"6' 0""";155 lbs.;"74""";Aug 17, 1994
UFC Fight Night: Vettori vs. Holland;Marvin Vettori;"6' 3""";185 lbs.;"81""";Nov 05, 1992;Kevin Holland;"6' 0""";205 lbs.;"74""";Sep 20, 1993
UFC Fight Night: Vettori vs. Holland;Arnold Allen;"5' 9""";145 lbs.;"71""";May 19, 1993;Sodiq Yusuff;"5' 8""";145 lbs.;"70""";Jan 22, 1994
UFC Fight Night: Vettori vs. Holland;Julian Marquez;"6' 2""";185 lbs.;"75""";May 06, 1986;Sam Alvey;"6' 2""";185 lbs.;"72""";May 08, 1990
UFC 260: Miocic vs. Ngannou;Alonzo Menifield;"6' 1""";205 lbs.;"74""";Nov 25, 1994;Fabio Cherant;"6' 0""";205 lbs.;"76""";Oct 18, 1987
UFC 260: Miocic vs. Ngannou;Abubakar Nurmagomedov;"6' 0""";170 lbs.;"77""";Dec 05, 1993;Jared Gooden;"5' 11""";170 lbs.;"72""";Nov 13, 1989
UFC 260: Miocic vs. Ngannou;Michal Oleksiejczuk;"6' 3""";205 lbs.;"78""";Feb 10, 1994;Modestas Bukauskas;"6' 0""";205 lbs.;"74""";Feb 22, 1995
UFC Fight Night: Vettori vs. Holland;Mackenzie Dern;"5' 5""";115 lbs.;"64""";Dec 03, 1985;Nina Nunes;"5' 4""";115 lbs.;"63""";Mar 24, 1993
UFC Fight Night: Vettori vs. Holland;Daniel Rodriguez;"5' 10""";170 lbs.;"71""";Sep 15, 1991;Mike Perry;"6' 1""";170 lbs.;"74""";Dec 31, 1986
UFC Fight Night: Vettori vs. Holland;Joe Solecki;"5' 8""";155 lbs.;"71""";Aug 30, 1983;Jim Miller;"5' 9""";155 lbs.;"70""";Aug 27, 1993
UFC 260: Miocic vs. Ngannou;Omar Morales;"5' 8""";145 lbs.;"72""";Jul 31, 1993;Shane Young;"5' 11""";145 lbs.;"73""";Oct 17, 1985
UFC 260: Miocic vs. Ngannou;Marc-Andre Barriault;"5' 9""";185 lbs.;"76""";Mar 10, 1986;Abu Azaitar;"6' 1""";185 lbs.;"74""";Feb 18, 1990
UFC Fight Night: Vettori vs. Holland;Mateusz Gamrot;"5' 9""";155 lbs.;"69""";Sep 30, 1983;Scott Holtzman;"5' 10""";155 lbs.;"70""";Dec 11, 1990
UFC Fight Night: Vettori vs. Holland;John Makdessi;"6' 3""";155 lbs.;"75""";Aug 27, 1997;Ignacio Bahamondes;"5' 8""";155 lbs.;"68""";May 03, 1985
UFC Fight Night: Vettori vs. Holland;Jarjis Danho;"6' 0""";250 lbs.;"74""";Dec 19, 1986;Yorgan De Castro;"6' 3""";265 lbs.;"74""";Oct 15, 1983
UFC 261: Usman vs. Masvidal 2;Kamaru Usman;"5' 11""";170 lbs.;"74""";Nov 12, 1984;Jorge Masvidal;"6' 0""";170 lbs.;"76""";May 11, 1987
UFC 261: Usman vs. Masvidal 2;Kamaru Usman;"5' 11""";170 lbs.;"74""";Nov 12, 1984;Jorge Masvidal;"6' 0""";170 lbs.;"76""";May 11, 1987
UFC 261: Usman vs. Masvidal 2;Rose Namajunas;"5' 4""";115 lbs.;"63""";Aug 13, 1989;Zhang Weili;"5' 5""";115 lbs.;"65""";Jun 29, 1992
UFC 261: Usman vs. Masvidal 2;Rose Namajunas;"5' 4""";115 lbs.;"63""";Aug 13, 1989;Zhang Weili;"5' 5""";115 lbs.;"65""";Jun 29, 1992
UFC 261: Usman vs. Masvidal 2;Valentina Shevchenko;"5' 1""";125 lbs.;"62""";Sep 25, 1991;Jessica Andrade;"5' 5""";125 lbs.;"66""";Mar 07, 1988
UFC Fight Night: Vettori vs. Holland;Jack Shore;"5' 8""";145 lbs.;"69""";Mar 02, 1992;Hunter Azure;"5' 8""";135 lbs.;"71""";Feb 06, 1995
UFC Fight Night: Vettori vs. Holland;Luis Saldana;"5' 10""";145 lbs.;"73""";Feb 28, 1990;Jordan Griffin;"5' 11""";145 lbs.;"73""";Jan 27, 1991
UFC Fight Night: Vettori vs. Holland;Da-Un Jung;"5' 10""";205 lbs.;"73""";Apr 03, 1988;William Knight;"6' 4""";205 lbs.;"78""";Dec 07, 1993
UFC 261: Usman vs. Masvidal 2;Uriah Hall;"6' 2""";185 lbs.;"78""";Jun 17, 1984;Chris Weidman;"6' 0""";185 lbs.;"79""";Jul 31, 1984
UFC 261: Usman vs. Masvidal 2;Anthony Smith;"6' 2""";205 lbs.;"74""";Mar 04, 1996;Jimmy Crute;"6' 4""";205 lbs.;"76""";Jul 26, 1988
UFC 261: Usman vs. Masvidal 2;Randy Brown;"5' 11""";170 lbs.;"76""";Feb 21, 1988;Alex Oliveira;"6' 3""";170 lbs.;"78""";Jul 08, 1990
UFC Fight Night: Vettori vs. Holland;Impa Kasanganay;"6' 1""";170 lbs.;"72""";Mar 15, 1989;Sasha Palatnikov;"5' 11""";170 lbs.;"75""";Jan 17, 1994
UFC 261: Usman vs. Masvidal 2;Dwight Grant;"6' 0""";170 lbs.;"75""";Feb 12, 1992;Stefan Sekulic;"6' 1""";170 lbs.;"76""";Sep 14, 1984
UFC 261: Usman vs. Masvidal 2;Brendan Allen;"6' 1""";185 lbs.;"74""";Oct 04, 1990;Karl Roberson;"6' 2""";185 lbs.;"75""";Dec 28, 1995
UFC 261: Usman vs. Masvidal 2;Pat Sabatini;"5' 10""";145 lbs.;"68""";Dec 12, 1985;Tristan Connelly;"5' 8""";145 lbs.;"70""";Nov 09, 1990
UFC 261: Usman vs. Masvidal 2;Batgerel Danaa;"5' 6""";145 lbs.;"70""";Apr 02, 1993;Kevin Natividad;"5' 7""";135 lbs.;"70""";Jul 04, 1989
UFC 261: Usman vs. Masvidal 2;Kazula Vargas;"5' 9""";155 lbs.;"71""";Mar 07, 2000;Rong Zhu;"5' 8""";155 lbs.;"71""";Aug 15, 1985
UFC 261: Usman vs. Masvidal 2;Jeff Molina;"5' 7""";135 lbs.;"69""";Jun 25, 1993;Aoriqileng;"5' 6""";125 lbs.;"69""";Jul 17, 1997
UFC 261: Usman vs. Masvidal 2;Ariane Carnelossi;"5' 5""";115 lbs.;"67""";Jul 27, 1996;Na Liang;"5' 2""";115 lbs.;"61""";Nov 17, 1992
UFC Fight Night: Rodriguez vs. Waterson;Marina Rodriguez;"5' 3""";115 lbs.;"62""";Jan 06, 1986;Michelle Waterson;"5' 6""";115 lbs.;"65""";Apr 29, 1987
UFC Fight Night: Rodriguez vs. Waterson;Alex Morono;"6' 1""";170 lbs.;"73""";Mar 29, 1983;Donald Cerrone;"5' 11""";170 lbs.;"72""";Aug 16, 1990
UFC Fight Night: Rodriguez vs. Waterson;Neil Magny;"5' 11""";170 lbs.;"75""";Aug 28, 1990;Geoff Neal;"6' 3""";170 lbs.;"80""";Aug 03, 1987
UFC Fight Night: Rodriguez vs. Waterson;Marcos Rogerio de Lima;"6' 7""";258 lbs.;"80""";Jul 05, 1986;Maurice Greene;"6' 1""";253 lbs.;"75""";Jun 25, 1985
UFC Fight Night: Rodriguez vs. Waterson;Gregor Gillespie;"5' 9""";155 lbs.;"74""";Jan 18, 1985;Diego Ferreira;"5' 7""";155 lbs.;"71""";Nov 13, 1986
UFC Fight Night: Rodriguez vs. Waterson;Phil Hawes;"6' 3""";185 lbs.;"76""";Feb 27, 1993;Kyle Daukaus;"6' 0""";185 lbs.;"77""";Jan 08, 1989
UFC Fight Night: Rodriguez vs. Waterson;Michael Trizano;"5' 7""";155 lbs.;"72""";Feb 22, 1995;Ludovit Klein;"5' 11""";145 lbs.;"71""";Dec 31, 1991
UFC Fight Night: Rodriguez vs. Waterson;Junyong Park;"6' 0""";205 lbs.;"77""";Oct 14, 1994;Tafon Nchukwi;"5' 10""";185 lbs.;"73""";Feb 27, 1991
UFC Fight Night: Rodriguez vs. Waterson;Carlston Harris;"5' 9""";170 lbs.;"72""";Nov 25, 1991;Christian Aguilera;"6' 0""";170 lbs.;"76""";Jul 09, 1987
UFC Fight Night: Reyes vs. Prochazka;Jiri Prochazka;"6' 4""";205 lbs.;"77""";Dec 26, 1989;Dominick Reyes;"6' 3""";205 lbs.;"80""";Oct 14, 1992
UFC Fight Night: Reyes vs. Prochazka;Giga Chikadze;"5' 8""";145 lbs.;"70""";Nov 02, 1983;Cub Swanson;"6' 0""";145 lbs.;"74""";Aug 25, 1988
UFC Fight Night: Reyes vs. Prochazka;Ion Cutelaba;"6' 3""";205 lbs.;"76""";Apr 04, 1988;Dustin Jacoby;"6' 1""";205 lbs.;"75""";Dec 14, 1993
UFC Fight Night: Reyes vs. Prochazka;Sean Strickland;"6' 1""";185 lbs.;"77""";Aug 19, 1989;Krzysztof Jotko;"6' 1""";185 lbs.;"76""";Feb 27, 1991
UFC Fight Night: Reyes vs. Prochazka;Merab Dvalishvili;"5' 6""";145 lbs.;"64""";Nov 09, 1989;Cody Stamann;"5' 6""";135 lbs.;"68""";Jan 10, 1991
UFC Fight Night: Reyes vs. Prochazka;Luana Pinheiro;"5' 4""";115 lbs.;"63""";Aug 10, 1985;Randa Markos;"5' 2""";115 lbs.;"62""";Nov 18, 1992
UFC Fight Night: Reyes vs. Prochazka;TJ Brown;"5' 7""";145 lbs.;"69""";Jan 05, 1995;Kai Kamaka;"5' 9""";145 lbs.;"72""";May 22, 1990
UFC Fight Night: Reyes vs. Prochazka;Luana Carolina;"5' 8""";115 lbs.;"67""";Dec 15, 1988;Poliana Botelho;"5' 6""";125 lbs.;"69""";Jun 11, 1993
UFC Fight Night: Reyes vs. Prochazka;Loma Lookboonmee;"5' 5""";115 lbs.;"64""";Jun 28, 1992;Sam Hughes;"5' 1""";115 lbs.;"61""";Jan 18, 1996
UFC Fight Night: Reyes vs. Prochazka;Andreas Michailidis;"6' 4""";185 lbs.;"78""";Oct 12, 1991;KB Bhullar;"6' 0""";185 lbs.;"76""";Jul 18, 1988
UFC Fight Night: Reyes vs. Prochazka;Felipe Colares;"5' 6""";135 lbs.;"67""";Dec 12, 1985;Luke Sanders;"5' 8""";135 lbs.;"69""";Mar 31, 1994
UFC Fight Night: Font vs. Garbrandt;Rob Font;"5' 8""";125 lbs.;"65""";Jul 07, 1991;Cody Garbrandt;"5' 8""";135 lbs.;"71""";Jun 25, 1987
UFC Fight Night: Font vs. Garbrandt;Carla Esparza;"5' 5""";115 lbs.;"63""";Jun 16, 1989;Yan Xiaonan;"5' 1""";115 lbs.;"63""";Oct 10, 1987
UFC Fight Night: Font vs. Garbrandt;Jared Vanderaa;"6' 0""";264 lbs.;"74""";Dec 13, 1993;Justin Tafa;"6' 4""";265 lbs.;"80""";May 12, 1992
UFC Fight Night: Font vs. Garbrandt;Norma Dumont;"5' 6""";145 lbs.;"68""";Nov 29, 1990;Felicia Spencer;"5' 7""";145 lbs.;"67""";Oct 01, 1990
UFC Fight Night: Font vs. Garbrandt;Ricardo Ramos;"6' 0""";145 lbs.;"73""";Jun 09, 1989;Bill Algeo;"5' 9""";145 lbs.;"72""";Aug 01, 1995
UFC Fight Night: Font vs. Garbrandt;Jack Hermansson;"6' 2""";185 lbs.;"74""";Nov 20, 1997;Edmen Shahbazyan;"6' 1""";185 lbs.;"77""";Jun 10, 1988
UFC 262: Oliveira vs. Chandler;Charles Oliveira;"5' 8""";155 lbs.;"71""";Apr 24, 1986;Michael Chandler;"5' 10""";155 lbs.;"74""";Oct 17, 1989
UFC 262: Oliveira vs. Chandler;Beneil Dariush;"5' 11""";155 lbs.;"76""";Feb 12, 1984;Tony Ferguson;"5' 10""";155 lbs.;"72""";May 06, 1989
UFC 262: Oliveira vs. Chandler;Matt Schnell;"5' 5""";125 lbs.;"67""";Apr 25, 1992;Rogerio Bontorin;"5' 8""";125 lbs.;"70""";Jan 15, 1990
UFC Fight Night: Font vs. Garbrandt;Ben Rothwell;"5' 9""";265 lbs.;"75""";Jun 14, 1986;Chris Barnett;"6' 4""";265 lbs.;"78""";Oct 17, 1981
UFC Fight Night: Font vs. Garbrandt;Court McGee;"5' 11""";170 lbs.;"71""";Sep 06, 1982;Claudio Silva;"5' 11""";170 lbs.;"75""";Dec 12, 1984
UFC Fight Night: Font vs. Garbrandt;Bruno Silva;"5' 5""";125 lbs.;"67""";Sep 05, 1992;Victor Rodriguez;"5' 4""";125 lbs.;"65""";Mar 16, 1990
UFC 262: Oliveira vs. Chandler;Katlyn Chookagian;"5' 4""";125 lbs.;"68""";Nov 21, 1986;Viviane Araujo;"5' 9""";125 lbs.;"68""";Dec 28, 1988
UFC 262: Oliveira vs. Chandler;Edson Barboza;"5' 11""";145 lbs.;"75""";Mar 19, 1991;Shane Burgos;"5' 11""";145 lbs.;"75""";Jan 21, 1986
UFC 262: Oliveira vs. Chandler;Andre Muniz;"6' 1""";185 lbs.;"72""";Dec 07, 1979;Jacare Souza;"6' 1""";185 lbs.;"78""";Feb 17, 1990
UFC Fight Night: Font vs. Garbrandt;Josh Culibao;"5' 8""";145 lbs.;"69""";May 04, 1994;Shayilan Nuerdanbieke;"5' 10""";145 lbs.;"73""";May 24, 1994
UFC Fight Night: Font vs. Garbrandt;David Dvorak;"5' 4""";125 lbs.;--;Feb 17, 1995;Juancamilo Ronderos;"5' 5""";125 lbs.;"68""";Jun 05, 1992
UFC Fight Night: Font vs. Garbrandt;Damir Ismagulov;"5' 8""";155 lbs.;"68""";Nov 14, 1990;Rafael Alves;"5' 10""";155 lbs.;"74""";Feb 03, 1991
UFC Fight Night: Jung vs. Ige;Chan Sung Jung;"5' 7""";145 lbs.;"71""";Aug 06, 1991;Dan Ige;"5' 7""";145 lbs.;"72""";Mar 17, 1987
UFC Fight Night: Jung vs. Ige;Serghei Spivac;"6' 2""";240 lbs.;"80""";Jun 20, 1977;Aleksei Oleinik;"6' 3""";260 lbs.;"78""";Jan 24, 1995
UFC 262: Oliveira vs. Chandler;Lando Vannata;"5' 7""";145 lbs.;"72""";Jan 03, 1987;Mike Grundy;"5' 9""";155 lbs.;"71""";Mar 14, 1992
UFC 262: Oliveira vs. Chandler;Jordan Wright;"6' 2""";185 lbs.;"80""";Aug 29, 1988;Jamie Pickett;"6' 2""";185 lbs.;"77""";Oct 07, 1991
UFC 262: Oliveira vs. Chandler;Andrea Lee;"5' 8""";125 lbs.;"67""";Nov 20, 1984;Antonina Shevchenko;"5' 6""";125 lbs.;"69""";Feb 11, 1989
UFC 263: Adesanya vs. Vettori 2;Israel Adesanya;"6' 0""";205 lbs.;"74""";Sep 20, 1993;Marvin Vettori;"6' 4""";185 lbs.;"80""";Jul 22, 1989
UFC 263: Adesanya vs. Vettori 2;Brandon Moreno;"5' 5""";125 lbs.;"68""";Dec 18, 1987;Deiveson Figueiredo;"5' 7""";125 lbs.;"70""";Dec 07, 1993
UFC Fight Night: Jung vs. Ige;Marlon Vera;"5' 8""";135 lbs.;"69""";Dec 18, 1985;Davey Grant;"5' 8""";135 lbs.;"70""";Dec 02, 1992
UFC Fight Night: Jung vs. Ige;SeungWoo Choi;"6' 1""";145 lbs.;"74""";Jul 31, 1989;Julian Erosa;"6' 0""";145 lbs.;"74""";Nov 03, 1992
UFC Fight Night: Jung vs. Ige;Bruno Silva;"6' 0""";185 lbs.;"72""";Jul 22, 1996;Wellington Turman;"5' 4""";125 lbs.;"65""";Mar 16, 1990
UFC 262: Oliveira vs. Chandler;Priscila Cachoeira;"5' 6""";125 lbs.;"68""";Aug 19, 1988;Gina Mazany;"5' 7""";125 lbs.;"65""";Aug 19, 1988
UFC 262: Oliveira vs. Chandler;Tucker Lutz;"5' 7""";155 lbs.;"73""";Sep 07, 1988;Kevin Aguilar;"5' 8""";145 lbs.;"72""";Jul 12, 1994
UFC 262: Oliveira vs. Chandler;Christos Giagos;"5' 9""";145 lbs.;"70""";Oct 06, 1989;Sean Soriano;"5' 10""";155 lbs.;"71""";Jan 23, 1990
UFC 263: Adesanya vs. Vettori 2;Leon Edwards;"6' 0""";170 lbs.;"76""";Apr 16, 1985;Nate Diaz;"6' 2""";170 lbs.;"74""";Aug 25, 1991
UFC 263: Adesanya vs. Vettori 2;Belal Muhammad;"6' 1""";170 lbs.;"72""";Nov 06, 1977;Demian Maia;"5' 11""";170 lbs.;"72""";Jul 09, 1988
UFC 263: Adesanya vs. Vettori 2;Paul Craig;"6' 4""";205 lbs.;"79""";May 19, 1991;Jamahal Hill;"6' 3""";205 lbs.;"76""";Nov 27, 1987
UFC Fight Night: Jung vs. Ige;Matt Brown;"6' 2""";170 lbs.;"75""";Jan 31, 1989;Dhiego Lima;"6' 0""";170 lbs.;"75""";Jan 10, 1981
UFC Fight Night: Jung vs. Ige;Nicolae Negumereanu;"6' 1""";205 lbs.;"74""";Sep 25, 1995;Aleksa Camur;"6' 0""";205 lbs.;"78""";Sep 04, 1994
UFC Fight Night: Jung vs. Ige;Virna Jandiroba;"5' 1""";115 lbs.;"62""";Aug 10, 1993;Kanako Murata;"5' 3""";115 lbs.;"64""";May 30, 1988
UFC 263: Adesanya vs. Vettori 2;Brad Riddell;"5' 8""";155 lbs.;"70""";Oct 19, 1988;Drew Dober;"5' 7""";155 lbs.;"71""";Sep 30, 1991
UFC 263: Adesanya vs. Vettori 2;Eryk Anders;"6' 0""";205 lbs.;"74""";Dec 30, 1990;Darren Stewart;"6' 1""";185 lbs.;"75""";Apr 21, 1987
UFC 263: Adesanya vs. Vettori 2;Eryk Anders;"6' 0""";205 lbs.;"74""";Dec 30, 1990;Darren Stewart;"6' 1""";185 lbs.;"75""";Apr 21, 1987
UFC 263: Adesanya vs. Vettori 2;Lauren Murphy;"5' 6""";125 lbs.;"65""";Dec 23, 1985;Joanne Wood;"5' 5""";125 lbs.;"67""";Jul 27, 1983
UFC Fight Night: Jung vs. Ige;Khaos Williams;"6' 1""";170 lbs.;"75""";Nov 23, 1992;Matthew Semelsberger;"6' 0""";170 lbs.;"77""";Mar 30, 1994
UFC Fight Night: Jung vs. Ige;Josh Parisian;"5' 10""";250 lbs.;"72""";Mar 04, 1986;Roque Martinez;"6' 4""";265 lbs.;"79""";Jun 28, 1989
UFC Fight Night: Jung vs. Ige;Ricky Glenn;"5' 8""";155 lbs.;"69""";Feb 05, 1989;Joaquim Silva;"6' 0""";155 lbs.;"70""";Apr 12, 1989
UFC 263: Adesanya vs. Vettori 2;Movsar Evloev;"5' 8""";145 lbs.;"73""";Jul 02, 1991;Hakeem Dawodu;"5' 7""";145 lbs.;"72""";Feb 11, 1994
UFC 263: Adesanya vs. Vettori 2;Pannie Kianzad;"5' 6""";135 lbs.;"68""";Oct 04, 1984;Alexis Davis;"5' 7""";135 lbs.;"66""";Dec 08, 1991
UFC 263: Adesanya vs. Vettori 2;Terrance McKinney;"5' 9""";155 lbs.;"71""";Jun 11, 1990;Matt Frevola;"5' 10""";155 lbs.;"73""";Sep 15, 1994
UFC Fight Night: Jung vs. Ige;Casey O'Neill;"5' 4""";125 lbs.;"67""";Nov 14, 1995;Lara Procopio;"5' 6""";125 lbs.;"69""";Oct 07, 1997
UFC 263: Adesanya vs. Vettori 2;Steven Peterson;"6' 1""";145 lbs.;"74""";Sep 13, 1999;Chase Hooper;"5' 10""";145 lbs.;"70""";May 29, 1990
