event;winner;height;weight;reach;bday;loser;l_height;l_weight;l_reach;l_bday
UFC 256: Figueiredo vs. Moreno;Tecia Torres;"5' 5""";115 lbs.;"64""";Jun 28, 1992;Sam Hughes;"5' 1""";115 lbs.;"60""";Aug 16, 1989
UFC 256: Figueiredo vs. Moreno;Chase Hooper;"5' 10""";145 lbs.;"73""";Aug 10, 1986;Peter Barrett;"6' 1""";145 lbs.;"74""";Sep 13, 1999
UFC 257: Poirier vs. McGregor;Dustin Poirier;"5' 9""";155 lbs.;"74""";Jul 14, 1988;Conor McGregor;"5' 9""";155 lbs.;"72""";Jan 19, 1989
UFC 257: Poirier vs. McGregor;Dustin Poirier;"5' 9""";155 lbs.;"74""";Jul 14, 1988;Conor McGregor;"5' 9""";155 lbs.;"72""";Jan 19, 1989
UFC 257: Poirier vs. McGregor;Michael Chandler;"6' 0""";145 lbs.;"75""";Feb 13, 1990;Dan Hooker;"5' 8""";155 lbs.;"71""";Apr 24, 1986
UFC 257: Poirier vs. McGregor;Joanne Wood;"5' 6""";125 lbs.;"66""";Jul 27, 1986;Jessica Eye;"5' 6""";125 lbs.;"65""";Dec 23, 1985
UFC 257: Poirier vs. McGregor;Makhmud Muradov;"6' 1""";185 lbs.;"74""";Apr 08, 1988;Andrew Sanchez;"6' 2""";185 lbs.;"75""";Feb 08, 1990
UFC 257: Poirier vs. McGregor;Marina Rodriguez;"5' 3""";125 lbs.;"66""";Aug 26, 1993;Amanda Ribas;"5' 6""";115 lbs.;"65""";Apr 29, 1987
UFC 257: Poirier vs. McGregor;Arman Tsarukyan;"5' 9""";155 lbs.;"71""";Jun 11, 1990;Matt Frevola;"5' 7""";155 lbs.;"72""";Oct 11, 1996
UFC 257: Poirier vs. McGregor;Brad Tavares;"6' 2""";185 lbs.;"79""";Mar 16, 1990;Antonio Carlos Junior;"6' 1""";185 lbs.;"74""";Dec 21, 1987
UFC 257: Poirier vs. McGregor;Julianna Pena;"5' 6""";135 lbs.;"66""";Sep 24, 1980;Sara McMann;"5' 6""";135 lbs.;"69""";Aug 19, 1989
UFC 257: Poirier vs. McGregor;Marcin Prachnio;"6' 1""";205 lbs.;"76""";Feb 26, 1990;Khalil Rountree Jr.;"6' 3""";205 lbs.;"74""";Jul 14, 1988
UFC 257: Poirier vs. McGregor;Movsar Evloev;"5' 8""";145 lbs.;"68""";Aug 13, 1984;Nik Lentz;"5' 7""";145 lbs.;"72""";Feb 11, 1994
UFC 257: Poirier vs. McGregor;Amir Albazi;"5' 4""";125 lbs.;"66""";Aug 29, 1988;Zhalgas Zhumagulov;"5' 5""";125 lbs.;"68""";Oct 27, 1993
UFC Fight Night: Rozenstruik vs. Gane;Ciryl Gane;"6' 2""";242 lbs.;"78""";Mar 17, 1988;Jairzinho Rozenstruik;"6' 4""";245 lbs.;"81""";Apr 12, 1990
UFC Fight Night: Rozenstruik vs. Gane;Magomed Ankalaev;"6' 3""";205 lbs.;"77""";Mar 07, 1992;Nikita Krylov;"6' 3""";205 lbs.;"75""";Jun 02, 1992
UFC Fight Night: Rozenstruik vs. Gane;Montana De La Rosa;"5' 6""";135 lbs.;"66""";Aug 22, 1991;Mayra Bueno Silva;"5' 7""";125 lbs.;"68""";Feb 14, 1995
UFC Fight Night: Rozenstruik vs. Gane;Pedro Munhoz;"5' 4""";135 lbs.;"68""";Jun 29, 1989;Jimmie Rivera;"5' 6""";135 lbs.;"65""";Sep 07, 1986
UFC Fight Night: Rozenstruik vs. Gane;Alex Caceres;"5' 11""";135 lbs.;"73""";Jul 15, 1987;Kevin Croom;"5' 10""";145 lbs.;"73""";Jun 20, 1988
UFC Fight Night: Rozenstruik vs. Gane;Thiago Moises;"5' 9""";155 lbs.;"72""";Oct 01, 1992;Alexander Hernandez;"5' 9""";155 lbs.;"70""";Mar 23, 1995
UFC Fight Night: Rozenstruik vs. Gane;Alexis Davis;"5' 7""";125 lbs.;"70""";Mar 25, 1997;Sabina Mazo;"5' 6""";135 lbs.;"68""";Oct 04, 1984
UFC Fight Night: Rozenstruik vs. Gane;Ronnie Lawrence;"5' 6""";145 lbs.;"68""";Nov 07, 1989;Vince Cachero;"5' 8""";135 lbs.;"68""";Jun 13, 1992
UFC Fight Night: Rozenstruik vs. Gane;Dustin Jacoby;"6' 3""";205 lbs.;"78""";May 02, 1984;Maxim Grishin;"6' 3""";205 lbs.;"76""";Apr 04, 1988
UFC 258: Usman vs. Burns;Kamaru Usman;"5' 10""";170 lbs.;"71""";Jul 20, 1986;Gilbert Burns;"6' 0""";170 lbs.;"76""";May 11, 1987
UFC 258: Usman vs. Burns;Alexa Grasso;"5' 5""";125 lbs.;"65""";May 18, 1998;Maycee Barber;"5' 5""";125 lbs.;"66""";Aug 09, 1993
UFC 258: Usman vs. Burns;Kelvin Gastelum;"5' 11""";185 lbs.;"72""";Aug 05, 1988;Ian Heinisch;"5' 9""";185 lbs.;"71""";Oct 24, 1991
UFC 258: Usman vs. Burns;Ricky Simon;"5' 6""";145 lbs.;"66""";Aug 19, 1986;Brian Kelleher;"5' 6""";135 lbs.;"69""";Aug 31, 1992
UFC 258: Usman vs. Burns;Julian Marquez;"5' 10""";185 lbs.;"75""";Nov 24, 1990;Maki Pitolo;"6' 2""";185 lbs.;"72""";May 08, 1990
UFC 258: Usman vs. Burns;Anthony Hernandez;"6' 0""";185 lbs.;"73""";Sep 25, 1989;Rodolfo Vieira;"6' 0""";185 lbs.;"75""";Oct 18, 1993
UFC 258: Usman vs. Burns;Belal Muhammad;"6' 2""";170 lbs.;"75""";Jan 31, 1989;Dhiego Lima;"5' 11""";170 lbs.;"72""";Jul 09, 1988
UFC 258: Usman vs. Burns;Polyana Viana;"5' 4""";115 lbs.;"63""";Jan 29, 1994;Mallory Martin;"5' 5""";115 lbs.;"67""";Jun 14, 1992
